n_vars,m_clauses,heuristic,status,time
10,10,NV,sat,0.002566
30,30,NV,sat,0.002925
50,50,NV,sat,0.003099
70,70,NV,sat,0.003629
90,90,NV,sat,0.003773
110,110,NV,sat,0.004628
130,130,NV,sat,0.004879
150,150,NV,sat,0.006488
200,200,NV,sat,535.288109

n_vars,m_clauses,heuristic,status,time
10,100,NV,sat,0.003495
30,300,NV,sat,0.005619
50,500,NV,unsat,58.720764
70,700,NV,unsat,3601.123153

n_vars,m_clauses,heuristic,status,time
10,10,RAN,sat,0.002147
30,30,RAN,sat,0.002568
50,50,RAN,sat,0.002437
70,70,RAN,sat,0.002677
90,90,RAN,sat,0.002960
110,110,RAN,sat,0.003130
130,130,RAN,sat,0.003544
150,150,RAN,sat,0.004159
200,200,RAN,sat,0.005283
500,500,RAN,sat,0.017634
1000,1000,RAN,sat,0.060468
10000,10000,RAN,sat,6.121343
100000,100000,RAN,sat,884.455895

n_vars,m_clauses,heuristic,status,time
10,100,RAN,sat,0.002654
30,300,RAN,sat,0.004943
50,500,RAN,unsat,0.059270
70,700,RAN,unsat,0.066552
90,900,RAN,unsat,0.669292
150,1500,RAN,unsat,13.856609
200,2000,RAN,unsat,98.341216
500,1000,RAN,sat,0.109878
5000,5000,RAN,sat,1.863157

n_vars,m_clauses,heuristic,status,time
10,10,JW,sat,0.003316
30,30,JW,sat,0.002274
50,50,JW,sat,0.002497
70,70,JW,sat,0.002806
90,90,JW,sat,0.002976
110,110,JW,sat,0.003700
130,130,JW,sat,0.003942
150,150,JW,sat,0.003911
200,200,JW,sat,0.005440
500,500,JW,sat,0.018425
1000,1000,JW,sat,0.060839
10000,10000,JW,sat,6.149982
100000,100000,JW,sat,972.176491

n_vars,m_clauses,heuristic,status,time
10,100,JW,sat,0.002917
30,300,JW,sat,0.003955
50,500,JW,unsat,0.020419
70,700,JW,unsat,0.109533
90,900,JW,unsat,0.121294
150,1500,JW,unsat,1.752174
200,2000,JW,unsat,2.983902
500,1000,JW,sat,0.074649
5000,5000,JW,sat,2.097288